                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.28036,                0.73371,                0.86439,                0.93333,                    0.9,                  0.946,                  0.946,                0.21893,                0.62474,                0.68435,             0.00071504,             0.00071504,             0.00071504
                     38,                0.28642,                 0.6892,                0.87781,                      1,                      1,                  0.995,                  0.995,                0.16995,                0.53485,                  0.671,             0.00070404,             0.00070404,             0.00070404
                     39,                0.32509,                0.74369,                0.87202,                      1,                      1,                  0.995,                  0.995,                0.15439,                0.47735,                0.67414,             0.00069304,             0.00069304,             0.00069304
                     40,                0.25312,                 0.6598,                0.86405,                      1,                      1,                  0.995,                  0.995,                0.16437,                0.44282,                 0.6767,             0.00068204,             0.00068204,             0.00068204
                     41,                0.25494,                0.74761,                0.88061,                      1,                      1,                  0.995,                  0.995,                0.14177,                0.45651,                0.67461,             0.00067104,             0.00067104,             0.00067104
                     42,                0.29874,                0.65244,                0.88334,                      1,                      1,                  0.995,                  0.995,                0.16331,                0.45895,                0.67974,             0.00066005,             0.00066005,             0.00066005
                     43,                0.28839,                0.63449,                0.88056,                      1,                      1,                  0.995,                  0.995,                0.16558,                0.44844,                0.67671,             0.00064905,             0.00064905,             0.00064905
                     44,                0.25277,                0.63666,                0.87274,                      1,                    0.9,                  0.946,                  0.946,                0.14358,                0.54102,                0.67234,             0.00063805,             0.00063805,             0.00063805
                     45,                0.24467,                0.56031,                0.86173,                      1,                    0.9,                  0.946,                  0.946,                0.14325,                0.71091,                0.67704,             0.00062705,             0.00062705,             0.00062705
                     46,                 0.2567,                 0.5437,                0.84657,                      1,                    0.9,                  0.946,                  0.946,                0.19424,                0.68555,                0.68656,             0.00061605,             0.00061605,             0.00061605
                     47,                0.26598,                0.58146,                0.86314,                      1,                      1,                  0.995,                  0.995,                0.17798,                0.45944,                0.67425,             0.00060505,             0.00060505,             0.00060505
                     48,                0.23581,                0.54861,                0.83297,                      1,                      1,                  0.995,                  0.995,                0.14593,                0.37666,                0.66125,             0.00059405,             0.00059405,             0.00059405
                     49,                0.24698,                0.52756,                0.87271,                      1,                      1,                  0.995,                  0.995,                 0.1434,                0.36729,                0.66351,             0.00058305,             0.00058305,             0.00058305
